graph_name,pw,type
random_instance001_graph004,7,opt
random_instance001_graph005,6,opt
random_instance002_graph001,9,opt
random_instance002_graph002,10,opt
random_instance002_graph003,11,opt
random_instance002_graph004,11,opt
random_instance002_graph005,10,opt
random_instance003_graph001,13,opt
random_instance003_graph002,13,opt
random_instance003_graph003,13,opt
random_instance003_graph004,14,opt
random_instance003_graph005,14,opt
random_instance004_graph001,17,opt
random_instance004_graph002,18,opt
random_instance004_graph003,17,opt
random_instance004_graph004,16,opt
random_instance004_graph005,17,opt
random_instance005_graph001,20,opt
random_instance005_graph002,20,opt
random_instance005_graph003,21,opt
random_instance005_graph004,20,opt
random_instance005_graph005,19,opt
random_instance006_graph002,24,opt
random_instance006_graph003,23,opt
random_instance006_graph004,24,opt
SAT_exp_instance002,1,opt
SAT_exp_instance004,4,opt
SAT_exp_instance006,6,opt
SAT_exp_instance008,8,opt
SAT_exp_instance010,10,opt
SAT_exp_instance012,12,opt
sp001,10,opt
sp002,10,opt
sp003,10,opt
sp004,10,opt
sp005,10,opt
sp006,10,opt
sp007,10,opt
sp008,10,opt
sp009,10,opt
sp010,10,opt
sp011,10,opt
sp012,10,opt
sp013,10,opt
sp014,10,opt
sp015,10,opt
sp016,10,opt
sp017,10,opt
sp018,10,opt
sp019,10,opt
sp020,10,opt
sp021,10,opt
sp022,10,opt
sp023,10,opt
sp024,10,opt
sp025,10,opt
sp026,10,opt
sp027,10,opt
sp028,10,opt
sp029,10,opt
sp030,10,opt
suzuki_instance_2_10_2_2,9,opt
suzuki_instance_2_10_2_3,14,opt
suzuki_instance_2_11_2_2,9,opt
suzuki_instance_2_11_2_3,14,opt
suzuki_instance_2_12_2_2,9,opt
suzuki_instance_2_12_2_3,14,opt
suzuki_instance_2_13_2_2,9,opt
suzuki_instance_2_13_2_3,14,opt
suzuki_instance_2_14_2_2,9,opt
suzuki_instance_2_14_2_3,14,opt
suzuki_instance_2_15_2_2,9,opt
suzuki_instance_2_15_2_3,14,opt
suzuki_instance_2_16_2_2,9,opt
suzuki_instance_2_16_2_3,14,opt
suzuki_instance_2_17_2_2,9,opt
suzuki_instance_2_17_2_3,14,opt
suzuki_instance_2_18_2_2,9,opt
suzuki_instance_2_18_2_3,14,opt
suzuki_instance_2_19_2_2,9,opt
suzuki_instance_2_19_2_3,14,opt
suzuki_instance_2_20_2_2,9,opt
suzuki_instance_2_20_2_3,14,opt
suzuki_instance_2_4_2_2,9,opt
suzuki_instance_2_4_2_3,14,opt
suzuki_instance_2_5_2_2,9,opt
suzuki_instance_2_5_2_3,14,opt
suzuki_instance_2_6_2_2,9,opt
suzuki_instance_2_6_2_3,14,opt
suzuki_instance_2_7_2_2,9,opt
suzuki_instance_2_7_2_3,14,opt
suzuki_instance_2_8_2_2,9,opt
suzuki_instance_2_8_2_3,14,opt
suzuki_instance_2_9_2_2,9,opt
suzuki_instance_2_9_2_3,14,opt
suzuki_instance_3_10_2_2,11,opt
suzuki_instance_3_10_2_3,17,opt
suzuki_instance_3_11_2_2,11,opt
suzuki_instance_3_11_2_3,17,opt
suzuki_instance_3_12_2_2,11,opt
suzuki_instance_3_12_2_3,17,opt
suzuki_instance_3_13_2_2,11,opt
suzuki_instance_3_13_2_3,17,opt
suzuki_instance_3_14_2_2,11,opt
suzuki_instance_3_14_2_3,17,opt
suzuki_instance_3_15_2_2,11,opt
suzuki_instance_3_15_2_3,17,opt
suzuki_instance_3_16_2_2,11,opt
suzuki_instance_3_16_2_3,17,opt
suzuki_instance_3_17_2_2,11,opt
suzuki_instance_3_17_2_3,17,opt
suzuki_instance_3_18_2_2,11,opt
suzuki_instance_3_18_2_3,17,opt
suzuki_instance_3_19_2_2,11,opt
suzuki_instance_3_19_2_3,17,opt
suzuki_instance_3_20_2_2,11,opt
suzuki_instance_3_20_2_3,17,opt
